Broker          Stock           Value           Changes   Date and Time
Broker 2        Commodity       561             4         9/2/2022 1:18:43 PM
Broker 4        Commodity       561             4         9/2/2022 1:18:43 PM
Broker 2        Banking         102             5         9/2/2022 1:18:43 PM
Broker 3        Banking         102             5         9/2/2022 1:18:43 PM
Broker 4        Banking         102             5         9/2/2022 1:18:43 PM
Broker 2        Commodity       565             5         9/2/2022 1:18:43 PM
Broker 4        Commodity       565             5         9/2/2022 1:18:43 PM
Broker 2        Banking         103             6         9/2/2022 1:18:44 PM
Broker 3        Banking         103             6         9/2/2022 1:18:44 PM
Broker 4        Banking         103             6         9/2/2022 1:18:44 PM
Broker 2        Commodity       575             6         9/2/2022 1:18:44 PM
Broker 4        Commodity       575             6         9/2/2022 1:18:44 PM
Broker 1        Technology      179             7         9/2/2022 1:18:44 PM
Broker 2        Technology      179             7         9/2/2022 1:18:44 PM
Broker 3        Technology      179             7         9/2/2022 1:18:44 PM
Broker 4        Technology      179             7         9/2/2022 1:18:44 PM
Broker 2        Banking         106             7         9/2/2022 1:18:44 PM
Broker 3        Banking         106             7         9/2/2022 1:18:44 PM
Broker 4        Banking         106             7         9/2/2022 1:18:44 PM
Broker 1        Retail          37              7         9/2/2022 1:18:44 PM
Broker 4        Retail          37              7         9/2/2022 1:18:44 PM
Broker 2        Commodity       590             7         9/2/2022 1:18:44 PM
Broker 4        Commodity       590             7         9/2/2022 1:18:44 PM
Broker 1        Technology      183             8         9/2/2022 1:18:45 PM
Broker 2        Technology      183             8         9/2/2022 1:18:45 PM
Broker 3        Technology      183             8         9/2/2022 1:18:45 PM
Broker 4        Technology      183             8         9/2/2022 1:18:45 PM
Broker 2        Banking         108             8         9/2/2022 1:18:45 PM
Broker 1        Retail          38              8         9/2/2022 1:18:45 PM
Broker 4        Retail          38              8         9/2/2022 1:18:45 PM
Broker 3        Banking         108             8         9/2/2022 1:18:45 PM
Broker 4        Banking         108             8         9/2/2022 1:18:45 PM
Broker 2        Commodity       607             8         9/2/2022 1:18:45 PM
Broker 4        Commodity       607             8         9/2/2022 1:18:45 PM
Broker 1        Technology      187             9         9/2/2022 1:18:45 PM
Broker 2        Technology      187             9         9/2/2022 1:18:45 PM
Broker 3        Technology      187             9         9/2/2022 1:18:45 PM
Broker 4        Technology      187             9         9/2/2022 1:18:45 PM
Broker 2        Banking         109             9         9/2/2022 1:18:45 PM
Broker 3        Banking         109             9         9/2/2022 1:18:45 PM
Broker 1        Retail          39              9         9/2/2022 1:18:45 PM
Broker 4        Retail          39              9         9/2/2022 1:18:45 PM
Broker 4        Banking         109             9         9/2/2022 1:18:45 PM
Broker 2        Commodity       616             9         9/2/2022 1:18:45 PM
Broker 4        Commodity       616             9         9/2/2022 1:18:45 PM
Broker 1        Technology      188             10        9/2/2022 1:18:46 PM
Broker 2        Technology      188             10        9/2/2022 1:18:46 PM
Broker 3        Technology      188             10        9/2/2022 1:18:46 PM
Broker 4        Technology      188             10        9/2/2022 1:18:46 PM
Broker 1        Retail          40              10        9/2/2022 1:18:46 PM
Broker 4        Retail          40              10        9/2/2022 1:18:46 PM
Broker 2        Banking         112             10        9/2/2022 1:18:46 PM
Broker 3        Banking         112             10        9/2/2022 1:18:46 PM
Broker 4        Banking         112             10        9/2/2022 1:18:46 PM
Broker 2        Commodity       628             10        9/2/2022 1:18:46 PM
Broker 4        Commodity       628             10        9/2/2022 1:18:46 PM
Broker 1        Technology      192             11        9/2/2022 1:18:46 PM
Broker 2        Technology      192             11        9/2/2022 1:18:46 PM
Broker 3        Technology      192             11        9/2/2022 1:18:46 PM
Broker 4        Technology      192             11        9/2/2022 1:18:46 PM
Broker 1        Retail          41              11        9/2/2022 1:18:46 PM
Broker 4        Retail          41              11        9/2/2022 1:18:46 PM
Broker 2        Banking         114             11        9/2/2022 1:18:46 PM
Broker 3        Banking         114             11        9/2/2022 1:18:46 PM
Broker 4        Banking         114             11        9/2/2022 1:18:46 PM
Broker 2        Commodity       638             11        9/2/2022 1:18:46 PM
Broker 4        Commodity       638             11        9/2/2022 1:18:46 PM
Broker 1        Technology      196             12        9/2/2022 1:18:47 PM
